date,open,high,low,close,tick_volume
2026-03-12 09:11:00,5153.26,5153.96,5151.88,5153.17,
2026-03-12 09:12:00,5153.17,5155.72,5152.68,5155.72,
2026-03-12 09:13:00,5155.73,5155.9,5154.74,5155.7,
2026-03-12 09:14:00,5155.71,5155.72,5154.54,5154.54,
2026-03-12 09:15:00,5154.51,5154.58,5152.81,5152.96,
2026-03-12 09:16:00,5152.96,5153.14,5151.49,5152.4,
2026-03-12 09:17:00,5152.4,5152.42,5151.28,5151.54,
2026-03-12 09:18:00,5151.54,5152.5,5150.99,5151.11,
2026-03-12 09:19:00,5151.11,5151.41,5150.52,5150.73,
2026-03-12 09:20:00,5150.73,5150.73,5147.85,5148.35,
2026-03-12 09:21:00,5148.4,5148.87,5147.37,5147.48,
2026-03-12 09:22:00,5147.48,5152.56,5147.48,5152.12,
2026-03-12 09:23:00,5152.15,5154.87,5152.15,5154.16,
2026-03-12 09:24:00,5154.16,5156.11,5154.16,5155.73,
2026-03-12 09:25:00,5155.74,5157.49,5155.72,5157.1,
2026-03-12 09:26:00,5157.27,5157.65,5156.02,5156.25,
2026-03-12 09:27:00,5156.25,5157.26,5155.9,5157.25,
2026-03-12 09:28:00,5157.25,5157.43,5156.25,5156.44,
2026-03-12 09:29:00,5156.45,5157.15,5155.77,5157.04,
2026-03-12 09:30:00,5157.03,5157.2,5156.57,5156.65,
2026-03-12 09:31:00,5156.65,5160.03,5156.11,5160.03,
2026-03-12 09:32:00,5159.96,5160.69,5158.33,5160.39,
2026-03-12 09:33:00,5160.41,5162.09,5160.19,5161.76,
2026-03-12 09:34:00,5161.76,5162.21,5160.61,5161.27,
2026-03-12 09:35:00,5161.33,5161.65,5159.83,5161.13,
2026-03-12 09:36:00,5161.13,5161.54,5160.39,5160.97,
2026-03-12 09:37:00,5160.98,5162.08,5160.9,5161.44,
2026-03-12 09:38:00,5161.44,5162.4,5160.47,5162.4,
2026-03-12 09:39:00,5162.38,5164.65,5162.3,5164.63,
2026-03-12 09:40:00,5164.64,5166.2,5163.56,5165.76,
2026-03-12 09:41:00,5165.76,5168.95,5165.41,5168.44,
2026-03-12 09:42:00,5168.44,5169.14,5167.93,5168.72,
2026-03-12 09:43:00,5168.72,5169.75,5168.02,5168.88,
2026-03-12 09:44:00,5168.87,5169.45,5167.87,5168.51,
2026-03-12 09:45:00,5168.56,5169.07,5167.64,5168.87,
2026-03-12 09:46:00,5168.81,5170.05,5168.25,5168.93,
2026-03-12 09:47:00,5168.95,5169.54,5167.38,5167.93,
2026-03-12 09:48:00,5167.93,5168.73,5167.56,5168.44,
2026-03-12 09:49:00,5168.43,5169.32,5168.13,5168.17,
2026-03-12 09:50:00,5168.17,5170.07,5167.7,5169.22,
2026-03-12 09:51:00,5169.36,5169.36,5166.93,5167.61,
2026-03-12 09:52:00,5167.61,5168.71,5167.26,5168.66,
2026-03-12 09:53:00,5168.63,5170.1,5166.49,5167.92,
2026-03-12 09:54:00,5167.93,5168.82,5167.68,5168.24,
2026-03-12 09:55:00,5168.24,5168.49,5167.19,5167.68,
2026-03-12 09:56:00,5167.68,5168.2,5166.46,5166.75,
2026-03-12 09:57:00,5166.65,5166.65,5165.25,5165.54,
2026-03-12 09:58:00,5165.86,5166.71,5165.46,5165.79,
2026-03-12 09:59:00,5165.79,5167.01,5165.76,5166.18,
2026-03-12 10:00:00,5166.18,5166.39,5164.49,5164.82,
2026-03-12 10:01:00,5165.05,5166.06,5164.68,5165.1,
2026-03-12 10:02:00,5165.1,5167.42,5165.1,5166.63,
2026-03-12 10:03:00,5166.63,5167.68,5166.54,5167.37,
2026-03-12 10:04:00,5167.45,5167.45,5165.96,5166.59,
2026-03-12 10:05:00,5166.59,5167.3,5166.58,5167.06,
2026-03-12 10:06:00,5167.37,5167.89,5167.07,5167.77,
2026-03-12 10:07:00,5167.77,5167.97,5166.96,5167.58,
2026-03-12 10:08:00,5167.57,5168.14,5165.7,5165.7,
2026-03-12 10:09:00,5165.7,5167.25,5165.65,5166.44,
2026-03-12 10:10:00,5166.46,5167.81,5166.21,5167.46,
2026-03-12 10:11:00,5167.46,5168.34,5167.42,5168.08,
2026-03-12 10:12:00,5168.08,5168.56,5167.67,5167.73,
2026-03-12 10:13:00,5167.73,5168.23,5167.01,5168.2,
2026-03-12 10:14:00,5168.2,5170.44,5168.07,5170.18,
2026-03-12 10:15:00,5170.18,5170.6,5169.39,5169.94,
2026-03-12 10:16:00,5169.94,5170.29,5168.27,5168.41,
2026-03-12 10:17:00,5168.25,5168.29,5167.32,5167.43,
2026-03-12 10:18:00,5167.5,5167.54,5166.58,5166.99,
2026-03-12 10:19:00,5166.97,5168.53,5166.76,5167.53,
2026-03-12 10:20:00,5167.53,5167.75,5166.05,5166.44,
2026-03-12 10:21:00,5166.44,5167.43,5166.07,5166.35,
2026-03-12 10:22:00,5166.38,5168.34,5166.03,5167.51,
2026-03-12 10:23:00,5167.49,5168.66,5167.31,5168.35,
2026-03-12 10:24:00,5168.39,5168.8,5167.51,5168.8,
2026-03-12 10:25:00,5168.78,5168.78,5167.18,5167.25,
2026-03-12 10:26:00,5167.25,5167.69,5166.36,5166.61,
2026-03-12 10:27:00,5166.6,5169.34,5166.6,5168.56,
2026-03-12 10:28:00,5168.48,5169.27,5168.26,5168.61,
2026-03-12 10:29:00,5168.61,5169.57,5168.61,5169.03,
2026-03-12 10:30:00,5169.03,5169.75,5168.84,5169.75,
2026-03-12 10:31:00,5169.74,5173.29,5169.72,5171.87,
2026-03-12 10:32:00,5171.87,5171.87,5170.28,5170.32,
2026-03-12 10:33:00,5170.32,5171.06,5168.99,5169.21,
2026-03-12 10:34:00,5169.24,5170.33,5168.32,5170.21,
2026-03-12 10:35:00,5170.21,5170.92,5169.31,5169.7,
2026-03-12 10:36:00,5169.7,5170.14,5168.24,5169.48,
2026-03-12 10:37:00,5169.49,5169.6,5168.8,5169.43,
2026-03-12 10:38:00,5169.43,5169.56,5168.25,5168.63,
2026-03-12 10:39:00,5168.59,5168.85,5168.26,5168.33,
2026-03-12 10:40:00,5168.33,5170.15,5168.18,5170.05,
2026-03-12 10:41:00,5170.11,5173.46,5170.05,5173.43,
